OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Region,State,Quantity,UnitPrice,Discount,Sales,Cost,Profit,PaymentMethod
O0001,2024-04-25,C025,Customer 65,P034,Rice,Grocery,West,Maharashtra,3,450,0.05,1282.5,945,337.5,Cash
O0002,2024-11-07,C062,Customer 44,P015,Mouse,Electronics,South,Tamil Nadu,1,740,0.1,666,518,148,Card
O0003,2025-04-14,C065,Customer 2,P002,Shoes,Fashion,West,Maharashtra,2,630,0,1260,882,378,Card
O0004,2024-02-21,C035,Customer 65,P021,Chair,Furniture,East,West Bengal,5,940,0.15,3995,3290,705,Net Banking
O0005,2024-09-04,C019,Customer 76,P022,Chair,Furniture,North,Delhi,4,260,0.15,884,728,156,UPI
O0006,2024-08-20,C003,Customer 50,P007,Rice,Grocery,North,Delhi,3,850,0.1,2295,1785,510,Cash
O0007,2024-06-24,C069,Customer 77,P016,Mouse,Electronics,South,Tamil Nadu,3,320,0.05,912,672,240,UPI
O0008,2024-07-09,C015,Customer 30,P026,Shoes,Fashion,South,Tamil Nadu,1,200,0.1,180,140,40,Cash
O0009,2025-03-03,C023,Customer 16,P035,Mouse,Electronics,South,Tamil Nadu,5,700,0.1,3150,2450,700,UPI
O0010,2025-03-15,C031,Customer 8,P035,Laptop,Electronics,North,Delhi,5,780,0,3900,2730,1170,Card
O0011,2024-02-11,C061,Customer 54,P022,Oil,Grocery,North,Delhi,4,390,0.15,1326,1092,234,Cash
O0012,2024-03-21,C070,Customer 8,P030,Shelf,Furniture,West,Maharashtra,4,810,0,3240,2268,972,UPI
O0013,2025-06-09,C012,Customer 80,P002,Chair,Furniture,West,Maharashtra,2,100,0.15,170,140,30,Cash
O0014,2024-12-10,C005,Customer 54,P019,Laptop,Electronics,West,Maharashtra,3,160,0.15,408,336,72,Card
O0015,2024-06-11,C042,Customer 55,P032,Oil,Grocery,West,Maharashtra,4,800,0,3200,2240,960,Cash
O0016,2025-06-02,C055,Customer 9,P013,Shirt,Fashion,East,West Bengal,5,370,0.1,1665,1295,370,Card
O0017,2025-02-01,C077,Customer 50,P005,Shirt,Fashion,South,Tamil Nadu,2,270,0.15,459,378,81,Net Banking
O0018,2024-10-26,C034,Customer 57,P011,Rice,Grocery,East,West Bengal,5,660,0.05,3135,2310,825,Net Banking
O0019,2025-05-25,C050,Customer 56,P019,Shirt,Fashion,West,Maharashtra,2,590,0,1180,826,354,Card
O0020,2024-12-28,C048,Customer 53,P019,Jeans,Fashion,South,Tamil Nadu,5,850,0.05,4037.5,2975,1062.5,Net Banking
O0021,2024-01-02,C042,Customer 45,P020,Oil,Grocery,North,Delhi,3,220,0.05,627,462,165,Card
O0022,2025-02-02,C001,Customer 46,P032,Shelf,Furniture,South,Tamil Nadu,2,310,0.1,558,434,124,Net Banking
O0023,2025-04-25,C044,Customer 43,P036,Keyboard,Electronics,West,Maharashtra,1,170,0.15,144.5,119,25.5,Cash
O0024,2025-01-02,C066,Customer 25,P009,Jeans,Fashion,East,West Bengal,4,620,0.05,2356,1736,620,Net Banking
O0025,2024-04-27,C076,Customer 49,P019,Mouse,Electronics,East,West Bengal,4,690,0,2760,1932,828,Card
O0026,2025-04-23,C036,Customer 29,P017,Tea,Grocery,North,Delhi,4,270,0.15,918,756,162,Net Banking
O0027,2024-02-25,C006,Customer 53,P018,Oil,Grocery,East,West Bengal,4,930,0.1,3348,2604,744,Cash
O0028,2024-07-05,C039,Customer 75,P038,Shelf,Furniture,West,Maharashtra,2,780,0.15,1326,1092,234,UPI
O0029,2024-05-28,C006,Customer 62,P022,Shelf,Furniture,East,West Bengal,4,790,0.15,2686,2212,474,Cash
O0030,2024-02-08,C056,Customer 65,P020,Shirt,Fashion,North,Delhi,3,720,0.1,1944,1512,432,Cash
O0031,2024-09-04,C054,Customer 19,P028,Oil,Grocery,West,Maharashtra,2,770,0,1540,1078,462,UPI
O0032,2024-04-07,C001,Customer 70,P023,Oil,Grocery,North,Delhi,3,490,0.1,1323,1029,294,UPI
O0033,2024-11-02,C009,Customer 57,P033,Shelf,Furniture,West,Maharashtra,3,950,0,2850,1995,855,Card
O0034,2025-04-28,C043,Customer 5,P025,Jeans,Fashion,West,Maharashtra,1,390,0,390,273,117,Cash
O0035,2024-11-09,C018,Customer 65,P028,Mouse,Electronics,South,Tamil Nadu,4,420,0,1680,1176,504,Net Banking
O0036,2024-10-09,C031,Customer 53,P015,Shelf,Furniture,North,Delhi,4,180,0.1,648,504,144,Cash
O0037,2024-06-16,C063,Customer 37,P029,Mouse,Electronics,West,Maharashtra,1,220,0.15,187,154,33,UPI
O0038,2025-02-19,C022,Customer 79,P029,Tea,Grocery,North,Delhi,4,790,0.05,3002,2212,790,Cash
O0039,2024-08-17,C022,Customer 27,P007,Laptop,Electronics,West,Maharashtra,3,840,0.1,2268,1764,504,UPI
O0040,2025-02-18,C038,Customer 5,P004,Mouse,Electronics,West,Maharashtra,3,670,0.1,1809,1407,402,Cash
O0041,2024-02-26,C034,Customer 31,P006,Jeans,Fashion,North,Delhi,1,550,0.05,522.5,385,137.5,Net Banking
O0042,2025-05-24,C036,Customer 44,P021,Laptop,Electronics,North,Delhi,4,370,0.15,1258,1036,222,UPI
O0043,2024-03-20,C061,Customer 52,P037,Shoes,Fashion,South,Tamil Nadu,2,540,0,1080,756,324,Cash
O0044,2024-07-15,C014,Customer 9,P017,Shelf,Furniture,North,Delhi,4,120,0.05,456,336,120,Net Banking
O0045,2024-12-24,C026,Customer 78,P037,Desk,Furniture,North,Delhi,3,980,0,2940,2058,882,Cash
O0046,2024-09-16,C075,Customer 1,P002,Laptop,Electronics,East,West Bengal,5,540,0.15,2295,1890,405,Card
O0047,2024-01-20,C001,Customer 29,P007,Shirt,Fashion,East,West Bengal,2,630,0,1260,882,378,Card
O0048,2024-11-26,C044,Customer 62,P023,Shelf,Furniture,North,Delhi,3,670,0.15,1708.5,1407,301.5,Net Banking
O0049,2025-04-01,C068,Customer 42,P014,Keyboard,Electronics,North,Delhi,1,460,0.15,391,322,69,Net Banking
O0050,2024-03-07,C025,Customer 16,P028,Rice,Grocery,South,Tamil Nadu,2,190,0,380,266,114,Card
O0051,2024-11-08,C020,Customer 36,P039,Desk,Furniture,North,Delhi,3,380,0,1140,798,342,UPI
O0052,2025-04-23,C026,Customer 38,P009,Jeans,Fashion,East,West Bengal,3,660,0.15,1683,1386,297,UPI
O0053,2024-10-24,C063,Customer 2,P014,Mouse,Electronics,West,Maharashtra,2,630,0.1,1134,882,252,Net Banking
O0054,2024-02-28,C055,Customer 64,P008,Laptop,Electronics,North,Delhi,1,120,0.15,102,84,18,UPI
O0055,2024-07-30,C042,Customer 49,P013,Mouse,Electronics,East,West Bengal,3,950,0.05,2707.5,1995,712.5,UPI
O0056,2024-06-30,C015,Customer 45,P014,Desk,Furniture,West,Maharashtra,3,290,0.05,826.5,609,217.5,Cash
O0057,2024-03-13,C042,Customer 21,P033,Mouse,Electronics,North,Delhi,1,490,0.05,465.5,343,122.5,Card
O0058,2024-09-26,C055,Customer 65,P024,Rice,Grocery,North,Delhi,5,220,0.05,1045,770,275,Cash
O0059,2024-03-16,C058,Customer 77,P019,Desk,Furniture,West,Maharashtra,2,830,0.05,1577,1162,415,Cash
O0060,2024-11-11,C058,Customer 43,P029,Rice,Grocery,West,Maharashtra,2,640,0.15,1088,896,192,Cash
